Symbol,Name,Percentage
LQD,iShares iBoxx USD Investment Grade Corporate Bond ETF,7.11%
BNDX,Vanguard Total International Bond ETF,5.32%
WELL,Welltower Inc.,4.48%
JPM,JPMorgan Chase & Co.,4.28%
T,AT&T,4.06%
SPG,Simon Property Group Inc.,4.01%
BAC,Bank of America,3.49%
D,Dominion Energy Inc.,3.28%
JNJ,Johnson & Johnson,3.11%
LTC,LTC Properties Inc.,2.62%
O,Realty Income Corporation,2.60%
SO,Southern Company (The),2.58%
MAIN,Main Street Capital Corporation,2.52%
NEE,NextEra Energy Inc.,2.38%
DUK,Duke Energy Corporation (Holding Company),2.26%
VZ,Verizon Communications Inc.,2.06%
COST,Costco Wholesale Corporation,1.92%
PFE,Pfizer Inc.,1.89%
NLY,Annaly Capital Management Inc.,1.87%
RITM,Rithm Capital Corp.,1.87%
AVGO,Broadcom Inc.,1.81%
IEF,iShares 7-10 Year Treasury Bond ETF,1.78%
IEI,iShares 3-7 Year Treasury Bond ETF,1.78%
SHY,iShares 1-3 Year Treasury Bond ETF,1.77%
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,1.70%
AFL,AFLAC Incorporated,1.66%
MRK,Merck & Company Inc.,1.64%
ABBV,AbbVie Inc.,1.60%
RY,Royal Bank Of Canada,1.56%
WFC,Wells Fargo & Company,1.39%
MDT,Medtronic plc.,1.37%
TD,Toronto Dominion Bank (The),1.23%
DIS,Disney,1.10%
AMGN,Amgen Inc.,1.05%
HD,Home Depot Inc. (The),1.05%
TGT,Target Corporation,1.04%
AAPL,Apple,0.91%
RTX,RTX Corporation,0.89%
XOM,Exxon Mobil Corporation,0.86%
TROW,T. Rowe Price Group Inc.,0.70%
MSFT,Microsoft,0.66%
WM,Waste Management Inc.,0.64%
CMCSA,Comcast Corporation Class A Common Stock,0.64%
UNP,Union Pacific Corporation,0.63%
CAT,Caterpillar Inc.,0.63%
NKE,Nike Inc.,0.59%
KO,Coca-Cola,0.58%
PSX,Phillips 66,0.54%
LMT,Lockheed Martin Corporation,0.53%
TXRH,Texas Roadhouse Inc.,0.48%
WBD,Warner Bros. Discovery Inc.,0.48%
CSCO,Cisco Systems Inc.,0.44%
BA,Boeing,0.41%
CVX,Chevron Corporation,0.37%
V,Visa,0.36%
MMM,3M Company,0.35%
EL,Estee Lauder Companies Inc. (The),0.34%
UNH,UnitedHealth Group Incorporated (DE),0.34%
OXY,Occidental Petroleum Corporation,0.32%
UPS,United Parcel Service Inc.,0.05%
